"""","   平成25年(2013年)_ 認知件数(件)","   平成25年(2013年)_ 検挙件数(件)","   平成25年(2013年)_検挙人員(人)","   平成25年(2013年)_検挙人員_うち少年(人)","   平成26年(2014年)_ 認知件数(件)","   平成26年(2014年)_ 検挙件数(件)","   平成26年(2014年)_検挙人員(人)","   平成26年(2014年)_検挙人員_うち少年(人)"
"刑法犯総数","9110.0","3395.0","2331.0","585.0","8704.0","3227.0","2367.0","466.0"
"","","","","","","","",""
"凶悪犯","45.0","35.0","33.0","7.0","47.0","40.0","32.0","2.0"
"凶悪犯_殺人","8.0","9.0","10.0","0.0","9.0","9.0","9.0","0.0"
"凶悪犯_強盗","16.0","11.0","11.0","2.0","13.0","8.0","9.0","0.0"
"凶悪犯_放火","7.0","5.0","2.0","0.0","13.0","15.0","8.0","2.0"
"凶悪犯_強姦","14.0","10.0","10.0","5.0","12.0","8.0","6.0","0.0"
"","","","","","","","",""
"粗暴犯","510.0","465.0","505.0","76.0","654.0","569.0","634.0","88.0"
"粗暴犯_暴行","253.0","227.0","233.0","18.0","365.0","330.0","364.0","34.0"
"粗暴犯_傷害","208.0","197.0","229.0","48.0","231.0","193.0","220.0","41.0"
"粗暴犯_脅迫","35.0","31.0","30.0","2.0","35.0","29.0","30.0","7.0"
"粗暴犯_恐喝","14.0","10.0","13.0","8.0","23.0","17.0","20.0","6.0"
"粗暴犯_凶器準備集合","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","",""
"窃盗犯","6494.0","2352.0","1333.0","384.0","6119.0","2099.0","1238.0","285.0"
"窃盗犯_侵入盗","965.0","446.0","148.0","23.0","808.0","509.0","129.0","22.0"
"窃盗犯_乗物盗","2116.0","208.0","176.0","131.0","1871.0","198.0","143.0","103.0"
"窃盗犯_非侵入窃盗","3413.0","1698.0","1009.0","230.0","3440.0","1392.0","966.0","160.0"
"","","","","","","","",""
"知能犯","330.0","167.0","99.0","3.0","268.0","148.0","118.0","4.0"
"知能犯_詐欺","299.0","135.0","79.0","3.0","221.0","122.0","89.0","4.0"
"知能犯_その他","31.0","32.0","20.0","0.0","47.0","26.0","29.0","0.0"
"","","","","","","","",""
"風俗犯","99.0","64.0","55.0","5.0","90.0","54.0","89.0","2.0"
"風俗犯_強制わいせつ","53.0","35.0","29.0","4.0","35.0","32.0","20.0","1.0"
"風俗犯_その他","46.0","29.0","26.0","1.0","55.0","22.0","69.0","1.0"
"","","","","","","","",""
"その他の刑法犯","1632.0","312.0","306.0","110.0","1526.0","317.0","256.0","85.0"
"その他の刑法犯_占有離脱物横領","198.0","120.0","120.0","54.0","156.0","93.0","95.0","41.0"
"その他の刑法犯_公務執行妨害","26.0","25.0","21.0","1.0","23.0","23.0","20.0","0.0"
"その他の刑法犯_住居侵入","111.0","37.0","38.0","25.0","99.0","39.0","30.0","15.0"
"その他の刑法犯_器物損壊","1210.0","83.0","54.0","16.0","1158.0","119.0","61.0","20.0"
"その他の刑法犯_その他","87.0","47.0","73.0","14.0","90.0","43.0","50.0","9.0"
